City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,trinidad,-14.8333,-64.9,296.07,80,70,1.58,BO,1683863222
345,lerwick,60.1545,-1.1494,281.15,89,0,3.47,GB,1683863222
346,podgorica,42.4411,19.2636,289.87,94,100,5.66,ME,1683862430
347,walvis bay,-22.9575,14.5053,287.68,94,100,5.66,NA,1683863224
348,kamina,-8.7386,24.9906,288.46,79,8,1.56,CD,1683863225
349,luganville,-15.5333,167.1667,301.21,67,77,7.68,VU,1683863225
350,pendleton,45.6721,-118.7886,292.93,57,0,2.57,US,1683863228
351,schleswig,54.5167,9.55,285.09,85,75,3.6,DE,1683863172
352,jianguang,28.1938,115.7836,296.71,59,30,1.75,CN,1683863229
353,mili,6.0815,171.735,300.69,83,81,9.2,MH,1683863230
354,revda,56.801,59.9303,282.26,40,66,3.74,RU,1683863232
355,guixi,28.2886,117.2133,295.09,68,87,2.43,CN,1683862946
356,susanville,40.4163,-120.653,289.06,49,0,1.54,US,1683863235
357,khash,28.2211,61.2158,301.69,13,17,2.68,IR,1683863235
358,rakops,-21.0167,24.3333,289.34,46,3,3.1,BW,1683863236
359,myeik,12.4333,98.6,305.21,60,100,4.24,MM,1683863237
360,karratha,-20.7377,116.8463,302.14,18,0,8.14,AU,1683863237
